ticker,snapshot_utc,sector,industry,country,price,change_pct,pe,forward_pe,peg,eps_growth_this_year_pct,eps_next_year,eps_next_5y_pct,sales_yoy_ttm_pct,eps_qoq_pct,sales_qoq_pct,roe_pct,roic_pct,gross_margin_pct,oper_margin_pct,profit_margin_pct,debt_to_equity,lt_debt_to_equity,current_ratio,quick_ratio,short_float_pct,short_ratio,insider_own_pct,insider_trans_pct,institutional_own_pct,institutional_trans_pct,perf_week_pct,perf_month_pct,sma20_pct,sma50_pct,sma200_pct,rsi_14,52w_high_price,52w_high_distance_pct,52w_low_price,52w_low_distance_pct
AAPL,2025-09-27T23:58:43.349444+00:00,Technology,Consumer Electronics,USA,255.46,-0.55,38.83,31.9,4.28,9.27,8.01,9.08,5.97,12.19,9.63,149.81,66.96,46.68,31.87,24.3,1.54,1.25,0.87,0.83,0.8,2.07,0.1,-2.09,64.45,1.19,4.06,10.83,6.1,11.82,15.09,69.66,260.1,-1.78,169.21,50.97
MSFT,2025-09-27T23:58:43.349444+00:00,Technology,Software - Infrastructure,USA,511.46,0.87,37.49,27.95,2.25,13.84,18.3,16.64,14.93,23.77,18.1,33.28,22.93,68.82,45.62,36.15,0.33,0.29,1.35,1.35,0.89,3.2,1.48,-0.26,73.19,-0.34,-1.25,0.93,0.87,-0.13,13.6,52.46,555.45,-7.92,344.79,48.34
TSLA,2025-09-27T23:58:43.349444+00:00,Consumer Cyclical,Auto Manufacturers,USA,440.4,4.02,255.04,176.46,18.47,-28.26,2.5,13.81,-2.73,-21.57,-11.78,8.43,6.93,17.48,6.23,6.54,0.17,0.13,2.04,1.55,3.08,0.96,15.92,0.29,48.46,1.69,3.36,25.97,13.51,25.13,31.67,69.58,488.54,-9.85,212.11,107.63
NVDA,2025-09-27T23:58:43.349444+00:00,Technology,Semiconductors,USA,178.19,0.28,50.72,27.87,1.45,51.12,6.39,34.94,71.55,61.23,55.6,109.42,78.42,69.85,58.09,52.41,0.11,0.1,4.21,3.6,0.93,1.25,4.08,-0.97,67.9,1.74,0.86,-1.88,1.93,0.92,25.64,53.29,184.55,-3.45,86.62,105.71
META,2025-09-27T23:58:43.349444+00:00,Communication Services,Internet Content & Information,USA,743.75,-0.69,26.93,24.81,2.1,18.29,29.98,12.84,19.38,38.3,21.61,40.65,29.47,81.95,44.08,39.99,0.25,0.24,1.97,1.97,1.22,2.26,13.85,-0.14,67.98,-0.52,-4.45,-0.49,-1.75,-0.97,11.92,43.74,796.25,-6.59,479.8,55.01
GOOGL,2025-09-27T23:58:43.349444+00:00,Communication Services,Internet Content & Information,USA,246.54,0.31,26.26,23.07,1.77,23.51,10.69,14.86,13.19,22.28,14.06,34.83,28.86,58.92,32.65,31.13,0.11,0.1,1.9,1.9,1.16,1.78,52.04,0.02,38.33,-1.76,-3.21,18.83,2.32,14.47,33.24,68.32,256.0,-3.7,140.53,75.44
AMZN,2025-09-27T23:58:43.349444+00:00,Consumer Cyclical,Internet Retail,USA,219.78,0.75,33.54,28.96,1.8,20.5,7.59,18.62,10.87,33.48,13.33,24.77,15.1,49.61,11.51,10.54,0.46,0.4,1.02,0.81,0.72,1.6,9.44,-2.44,65.33,1.77,-5.05,-4.08,-3.97,-3.34,2.34,39.77,242.52,-9.38,161.38,36.19
JPM,2025-09-27T23:58:43.349444+00:00,Financial,Banks - Diversified,USA,316.06,0.83,16.22,15.3,2.38,8.68,20.66,6.82,4.0,-14.44,-8.05,16.13,6.78,,27.19,19.78,3.13,1.28,1.16,,0.98,3.17,0.37,-2.67,74.31,2.87,0.41,5.61,3.14,5.77,18.47,70.21,316.58,-0.16,202.16,56.34
V,2025-09-27T23:58:43.349444+00:00,Financial,Credit Services,USA,337.37,0.73,33.3,26.25,2.56,13.78,12.85,13.02,11.38,12.61,14.29,51.18,34.44,77.2,67.32,51.58,0.65,0.51,1.12,1.12,1.58,4.44,12.04,-0.09,79.79,-1.27,-1.24,-3.7,-1.55,-2.1,-1.4,43.82,375.51,-10.16,270.0,24.95
UNH,2025-09-27T23:58:43.349444+00:00,Healthcare,Healthcare Plans,USA,344.08,-0.43,14.9,19.47,,-41.34,17.67,-8.95,9.98,-18.23,12.91,23.14,12.66,,7.27,5.04,0.84,0.78,0.85,,1.58,0.87,0.26,4.84,86.66,-5.66,2.19,13.23,2.64,14.44,-15.3,61.96,630.73,-45.45,234.6,46.67
